Month,t2.medium
11603,824
11604,824
11605,824
11606,824
11607,824
11608,824
11609,824
11610,824
11611,824
11612,824
11613,824
11614,824
11615,824
11616,824
11617,824
11618,824
11619,824
11620,824
11621,824
11622,824
11623,824
11624,824
11625,824
11626,824
11627,824
11628,824
11629,824
11630,824
11631,824
11632,824
11633,824
11634,824
11635,824
11636,824
11637,824
11638,824
11639,824
11640,824
11641,824
11642,824
11643,824
11644,824
11645,824
11646,824
11647,824
11648,824
11649,824
11650,824
11651,824
11652,824
11653,824
11654,824
11655,824
11656,824
11657,824
11658,824
11659,824
11660,824
11661,824
11662,824
11663,824
11664,824
11665,824
11666,824
11667,824
11668,824
11669,824
11670,824
11671,824
11672,824
11673,824
11674,824
11675,824
11676,824
11677,824
11678,824
11679,824
11680,824
11681,824
11682,824
11683,824
11684,824
11685,824
11686,824
11687,824
11688,824
11689,824
11690,824
11691,824
11692,824
11693,824
11694,824
11695,824
11696,824
11697,824
11698,824
11699,824
11700,824
11701,824
11702,824
11703,824
11704,824
11705,824
11706,824
11707,824
11708,824
11709,824
11710,824
11711,824
11712,824
11713,824
11714,824
11715,824
11716,824
11717,824
11718,824
11719,824
11720,824
11721,824
11722,824
11723,824
11724,824
11725,824
11726,824
11727,824
11728,824
11729,824
11730,824
11731,824
11732,824
11733,824
11734,824
11735,824
11736,824
11737,824
11738,824
11739,824
11740,824
11741,824
11742,824
11743,824
11744,824
11745,824
11746,824
11747,824
11748,824
11749,824
11750,824
11751,824
11752,824
11753,824
11754,824
11755,824
11756,824
11757,824
11758,824
11759,824
11760,824
11761,824
11762,824
11763,824
11764,824
11765,824
11766,824
11767,824
11768,824
11769,824
11770,824
11771,824
11772,824
11773,824
11774,824
11775,824
11776,824
11777,824
11778,824
11779,824
11780,824
11781,824
11782,824
11783,824
11784,824
11785,824
11786,824
11787,824
11788,824
11789,824
11790,824
11791,824
11792,824
11793,824
11794,824
11795,824
11796,824
11797,824
11798,824
11799,824
11800,824
11801,824
11802,824
11803,824
11804,824
11805,824
11806,824
11807,824
11808,824
11809,824
11810,824
11811,824
11812,824
11813,824
11814,824
11815,824
11816,824
11817,824
11818,824
11819,824
11820,824
11821,824
11822,824
11823,824
11824,824
11825,824
11826,824
11827,824
11828,824
11829,824
11830,824
11831,824
11832,824
11833,824
11834,824
11835,824
11836,824
11837,824
11838,824
11839,824
11840,824
11841,824
11842,824
11843,824
11844,824
11845,824
11846,824
11847,824
11848,824
11849,824
11850,824
11851,824
11852,824
11853,824
11854,824
11855,824
11856,824
11857,824
11858,824
11859,824
11860,824
11861,824
11862,824
11863,824
11864,824
11865,824
11866,824
11867,824
11868,824
11869,824
11870,824
11871,824
11872,824
11873,824
11874,824
11875,824
11876,824
11877,824
11878,824
11879,824
11880,824
11881,824
11882,824
11883,824
11884,824
11885,824
11886,824
11887,824
11888,824
11889,824
11890,824
11891,824
11892,824
11893,824
11894,824
11895,824
11896,824
11897,824
11898,824
11899,824
11900,824
11901,824
11902,824
11903,824
11904,824
11905,824
11906,824
11907,824
11908,824
11909,824
11910,824
11911,824
11912,824
11913,824
11914,824
11915,824
11916,824
11917,824
11918,824
11919,824
11920,824
11921,824
11922,824
11923,824
11924,824
11925,824
11926,824
11927,824
11928,824
11929,824
11930,824
11931,824
11932,824
11933,824
11934,824
11935,824
11936,824
11937,824
11938,824
11939,824
11940,824
11941,824
11942,824
11943,824
11944,824
11945,824
11946,824
11947,824
11948,824
11949,824
11950,824
11951,824
11952,824
11953,824
11954,824
11955,824
11956,824
11957,824
11958,824
11959,824
11960,824
11961,824
11962,824
11963,824
11964,824
11965,824
11966,824
11967,824
11968,824
11969,824
11970,824
11971,824
11972,824
11973,824
11974,824
11975,824
11976,824
11977,824
11978,824
11979,824
11980,824
11981,824
11982,824
11983,824
11984,824
11985,824
11986,824
11987,824
11988,824
11989,824
11990,824
11991,824
11992,824
11993,824
11994,824
11995,824
11996,824
11997,824
11998,824
11999,824
12000,824
12001,824
12002,824
12003,824
12004,824
12005,824
12006,824
12007,824
12008,824
12009,824
12010,824
12011,824
12012,824
12013,824
12014,824
12015,824
12016,824
12017,824
12018,824
12019,824
12020,824
12021,824
12022,824
12023,824
12024,824
12025,824
12026,824
12027,824
12028,824
12029,824
12030,824
12031,824
12032,824
12033,824
12034,824
12035,824
12036,824
12037,824
12038,824
12039,824
12040,824
12041,824
12042,824
12043,824
12044,824
12045,824
12046,824
12047,824
12048,824
12049,824
12050,824
12051,824
12052,824
12053,824
12054,824
12055,824
12056,824
12057,824
12058,824
12059,824
12060,824
12061,824
12062,824
12063,824
12064,824
12065,824
12066,824
12067,824
12068,824
12069,824
12070,824
12071,824
12072,824
12073,824
12074,824
12075,824
12076,824
12077,824
12078,824
12079,824
12080,824
12081,824
12082,824
12083,824
12084,824
12085,824
12086,824
12087,824
12088,824
12089,824
12090,824
12091,824
12092,824
12093,824
12094,824
12095,824
12096,824
12097,824
12098,824
12099,824
12100,824
12101,824
12102,824
12103,824
12104,824
12105,824
12106,824
12107,824
12108,824
12109,824
12110,824
12111,824
12112,824
12113,824
12114,824
12115,824
12116,824
12117,824
12118,824
12119,824
12120,824
12121,824
12122,824
12123,824
12124,824
12125,824
12126,824
12127,824
12128,824
12129,824
12130,824
12131,824
12132,824
12133,824
12134,824
12135,824
12136,824
12137,824
12138,824
12139,824
12140,824
12141,824
12142,824
12143,824
12144,824
12145,824
12146,824
12147,824
12148,824
12149,824
12150,824
12151,824
12152,824
12153,824
12154,824
12155,824
12156,824
12157,824
12158,824
12159,824
12160,824
12161,824
12162,824
12163,824
12164,824
12165,824
12166,824
12167,824
12168,824
12169,824
12170,824
12171,824
12172,824
12173,824
12174,824
12175,824
12176,824
12177,824
12178,824
12179,824
12180,824
12181,824
12182,824
12183,824
12184,1159
12185,1159
12186,1159
12187,1159
12188,1159
12189,1159
12190,1159
12191,1159
12192,1159
12193,1159
12194,1159
12195,1159
12196,1159
12197,1159
12198,1159
12199,1159
12200,1159
12201,1159
12202,1159
12203,1159
12204,1159
12205,1159
12206,1159
12207,1159
12208,1159
12209,1159
12210,1159
12211,1159
12212,1159
12213,1159
12214,1159
12215,1159
12216,1159
12217,1159
12218,1159
12219,1159
12220,1159
12221,1159
12222,1159
12223,1159
12224,1159
12225,1159
12226,1159
12227,1159
12228,1159
12229,1159
12230,1159
12231,1159
12232,1159
12233,1159
